city,state,station,latitude,longitude,PM10,AQI,AQI_Category
Indore,Madhya Pradesh,"Chhoti Gwaltoli, Indore - MPPCB",22.431,75.5213,82.0,82,Satisfactory
Indore,Madhya Pradesh,"Maguda Nagar, Indore - IMC",22.7524,75.8872,24.0,24,Good
Indore,Madhya Pradesh,"Residency Area, Indore - IMC",22.7084,75.8815,43.0,43,Good
Belapur,Maharashtra,"CBD Belapur, Belapur - MPCB",19.0243902,73.0406721,50.0,50,Good
Jalgaon,Maharashtra,"Prabhat Colony, Jalgaon - MPCB",21.001264,75.565602,64.0,64,Satisfactory
Kolhapur,Maharashtra,"Shivaji University, Kolhapur - MPCB",16.6870449,74.2505872,45.0,45,Good
Katni,Madhya Pradesh,"Gole Bazar, Katni - MPPCB",23.50016,80.23284,95.0,95,Satisfactory
Jabalpur,Madhya Pradesh,"Marhatal, Jabalpur - MPPCB",23.168606,79.932247,74.0,74,Satisfactory
Mumbai,Maharashtra,"Navy Nagar-Colaba, Mumbai - IITM",18.897756,72.81332,56.0,56,Satisfactory
Mumbai,Maharashtra,"Shivaji Nagar, Mumbai - BMC",19.060498,72.923356,104.0,103,Moderate
Mahad,Maharashtra,"Kamble Tarf Birwadi, Mahad - MPCB",18.1023399,73.4783687,68.0,68,Satisfactory
Nagpur,Maharashtra,"Mahal, Nagpur - MPCB",21.14472,79.107595,115.0,110,Moderate
Mumbai,Maharashtra,"Sion, Mumbai - MPCB",19.047,72.8746,82.0,82,Satisfactory
Mumbai,Maharashtra,"Mazgaon, Mumbai - IITM",18.96702,72.84214,46.0,46,Good
Nashik,Maharashtra,"MIDC Ambad, Nashik - MPCB",19.95022,73.73148,74.0,74,Satisfactory
Baripada,Odisha,"Meher Colony, Baripada - OSPCB",21.941841,86.728318,31.0,31,Good
Virar,Maharashtra,"Bolinj, Virar - MPCB",19.445821,72.7988231,59.0,59,Satisfactory
Jalandhar,Punjab,"Civil Line, Jalandhar - PPCB",31.321907,75.578914,154.0,136,Moderate
Pimpri-Chinchwad,Maharashtra,"Gavalinagar, Pimpri Chinchwad - MPCB",18.63673,73.82487,55.0,55,Satisfactory
Keonjhar,Odisha,"Jagamohanpur, Keonjhar - OSPCB",21.6439,85.599355,59.0,59,Satisfactory
Jaipur,Rajasthan,"Adarsh Nagar, Jaipur - RSPCB",26.902909,75.836858,76.0,76,Satisfactory
Jaipur,Rajasthan,"Police Commissionerate, Jaipur - RSPCB",26.9164092,75.7994901,101.0,101,Moderate
Alwar,Rajasthan,"Moti Doongri, Alwar - RSPCB",27.554793,76.611536,79.0,79,Satisfactory
Barmer,Rajasthan,"Railway Colony, Barmer - RSPCB",25.747299,71.393989,81.0,81,Satisfactory
Dausa,Rajasthan,"Khatikan Mohalla, Dausa - RSPCB",26.895552,76.334753,135.0,124,Moderate
Bikaner,Rajasthan,"MM Ground, Bikaner - RSPCB",28.018792,73.292658,125.0,117,Moderate
Chennai,TamilNadu,"Kodungaiyur, Chennai - TNPCB",13.1278,80.2642,47.0,47,Good
Chennai,TamilNadu,"Manali Village, Chennai - TNPCB",13.1662,80.2584,38.0,38,Good
Chennai,TamilNadu,"Perungudi, Chennai - TNPCB",12.9533,80.2357,55.0,55,Satisfactory
Namakkal,TamilNadu,"Ponnusamy Nagar, Namakkal - TNPCB",11.273992,78.163545,18.0,18,Good
Ooty,TamilNadu,"Bombay Castel, Ooty - TNPCB",11.4068288,76.7138973,29.0,29,Good
Ramanathapuram,TamilNadu,"Chalai Bazaar, Ramanathapuram - TNPCB",9.36399,78.831977,22.0,22,Good
Thoothukudi,TamilNadu,"Meelavittan, Thoothukudi - TNPCB",8.816428,78.099039,32.0,32,Good
Pali,Rajasthan,"Indira Colony Vistar, Pali - RSPCB",25.771061,73.340227,116.0,111,Moderate
Sawai Madhopur,Rajasthan,"Sahu Nagar, Sawai Madhopur - RSPCB",26.031443,76.359327,124.0,116,Moderate
Gummidipoondi,TamilNadu,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",13.4127,80.1081,51.0,51,Satisfactory
Hosur,TamilNadu,"SIPCOT Phase-1, Hosur - TNPCB",12.746998,77.813811,84.0,84,Satisfactory
Chennai,TamilNadu,"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125,52.0,52,Satisfactory
Cuddalore,TamilNadu,"Semmandalam, Cuddalore - TNPCB",11.7637683,79.7499835,14.0,14,Good
Agra,Uttar_Pradesh,"Sector-3B Avas Vikas Colony, Agra - UPPCB",27.19412,77.96237,128.0,119,Moderate
Agra,Uttar_Pradesh,"Shastripuram, Agra - UPPCB",27.19862,77.92066,120.0,114,Moderate
Bareilly,Uttar_Pradesh,"Civil Lines, Bareilly - UPPCB",28.359581,79.414455,12.0,12,Good
Ghaziabad,Uttar_Pradesh,"Indirapuram, Ghaziabad - UPPCB",28.646233,77.358075,123.0,116,Moderate
Ghaziabad,Uttar_Pradesh,"Loni, Ghaziabad - UPPCB",28.757294,77.278792,126.0,118,Moderate
Noida,Uttar_Pradesh,"Sector - 125, Noida - UPPCB",28.5447608,77.3231257,122.0,115,Moderate
Prayagraj,Uttar_Pradesh,"Motilal Nehru NIT, Prayagraj - UPPCB",25.494,81.863,87.0,87,Satisfactory
Howrah,West_Bengal,"Belur Math, Howrah - WBPCB",22.629801,88.352017,30.0,30,Good
Kolkata,West_Bengal,"Bidhannagar, Kolkata - WBPCB",22.58157048,88.41002457,62.0,62,Satisfactory
Kolkata,West_Bengal,"Fort William, Kolkata - WBPCB",22.55664,88.342674,30.0,30,Good
